County,Median_Household_Income,Poverty_Rate
United States,69021.0,12.63185031
Alabama,54943.0,15.78512663
Autauga,62660.0,13.57847378
Baldwin,64346.0,9.204904993
Barbour,36422.0,26.47191011
Bibb,54277.0,16.94285714
Blount,52830.0,13.23663049
Bullock,29063.0,30.9345983
Butler,45236.0,18.17700053
Calhoun,50977.0,17.53843981
Chambers,47232.0,15.0713246
Cherokee,43475.0,14.97337074
Chilton,56243.0,15.7239819
Choctaw,38581.0,21.56629374
Clarke,44108.0,21.90612902
Clay,45163.0,16.92627952
Cleburne,48333.0,14.17920473
Coffee,59034.0,15.94036697
Colbert,52017.0,15.13205869
Conecuh,37986.0,12.96864349
Coosa,50013.0,11.14754098
Covington,46186.0,18.03933286
Crenshaw,43103.0,13.10107198
Cullman,52690.0,12.21860843
Dale,50052.0,16.71052082
Dallas,34957.0,24.30519548
DeKalb,44037.0,20.57219744
Elmore,67597.0,10.28199619
Escambia,38464.0,23.48629794
Etowah,46984.0,16.01345537
Fayette,43960.0,21.33490771
Franklin,43633.0,18.06696147
Geneva,43581.0,23.51242496
Greene,28826.0,39.79578648
Hale,32294.0,24.9124734
Henry,55870.0,14.39453008
Houston,50222.0,17.66523132
Jackson,43785.0,17.61233633
Jefferson,58330.0,15.89747566
Lamar,43324.0,16.27568119
Lauderdale,50000.0,13.30227573
Lawrence,51712.0,15.38414578
Lee,57191.0,19.92484373
Limestone,70736.0,11.48487139
Lowndes,31961.0,21.48264674
Macon,39303.0,22.15404395
Madison,71153.0,10.90565612
Marengo,35379.0,22.31611894
Marion,44551.0,17.47613117
Marshall,52938.0,17.67642553
Mobile,51169.0,17.56578625
Monroe,32631.0,22.16855346
Montgomery,52511.0,19.62438045
Morgan,56128.0,14.5883154
Perry,27057.0,35.6925804
Pickens,43389.0,22.67190346
Pike,40106.0,23.77920672
Randolph,47081.0,18.22124802
Russell,44065.0,21.94392071
St. Clair,65070.0,12.05415256
Shelby,82592.0,6.982142447
Sumter,27099.0,31.55364807
Talladega,45400.0,18.63190349
Tallapoosa,50652.0,16.77352789
Tuscaloosa,57508.0,15.8039908
Walker,47442.0,16.93198716
Washington,44512.0,16.68285733
Wilcox,36385.0,27.41456878
Winston,46096.0,19.30103598
Alaska,80287.0,10.4321319
Aleutians East,72258.0,13.37260677
Aleutians West,90708.0,8.345063342
Anchorage,88871.0,9.149938493
Bethel,57460.0,28.54783662
Bristol Bay,81563.0,3.515151515
 Chugach,87868.0,4.065393519
Copper River,67439.0,11.3783887
Denali,78750.0,15.710254
Dillingham,62115.0,18.04325438
Fairbanks North Star,78321.0,6.387026051
Haines,63355.0,16.74710425
Hoonah-Angoon,55990.0,8.813413586
Juneau ,90126.0,7.207745261
Kenai Peninsula,70609.0,11.85129827
Ketchikan Gateway,77820.0,9.355494266
Kodiak Island,83765.0,7.762345679
Kusilvak,37975.0,36.64491177
Lake and Peninsula,49688.0,15.70841889
Matanuska-Susitna,79300.0,10.65663959
Nome,63977.0,21.86886939
North Slope,83992.0,8.558305212
Northwest Arctic,68654.0,20.50350376
Petersburg,71696.0,4.76900149
Prince of Wales-Hyder,55857.0,17.26384365
Sitka ,82083.0,6.874625075
Skagway,75000.0,4.815650865
Southeast Fairbanks,68634.0,11.40791027
Wrangell ,54891.0,12.05044372
Yakutat ,72083.0,7.295373666
Yukon-Koyukuk,43405.0,23.21129902
Arizona,65913.0,13.49802297
Apache,34788.0,33.89911143
Cochise,55077.0,14.23629276
Coconino,61888.0,17.56860247
Gila,51406.0,19.81392672
Graham,57105.0,19.96892444
Greenlee,67723.0,11.57295073
La Paz,39732.0,20.1587975
Maricopa,72944.0,12.04416425
Mohave,49738.0,15.99859455
Navajo,46126.0,25.52760718
Pima,59215.0,15.12317432
Pinal,65488.0,11.39558119
Santa Cruz,45089.0,21.64223371
Yavapai,56170.0,12.46247688
Yuma,52563.0,18.32641946
Arkansas,52123.0,16.01078757
Arkansas,55022.0,16.37936106
Ashley,42683.0,20.59114326
Baxter,43530.0,14.01652731
Benton,76887.0,8.075611979
Boone,48625.0,13.30076004
Bradley,41972.0,14.75768828
Calhoun,55904.0,9.942393855
Carroll,53366.0,14.29494543
Chicot,33770.0,29.58307787
Clark,45351.0,20.37450075
Clay,39817.0,18.77882564
Cleburne,48400.0,15.07558163
Cleveland,48183.0,12.35107228
Columbia,41115.0,23.44230496
Conway,45812.0,18.88159494
Craighead,51788.0,17.79253363
Crawford,52057.0,17.74472443
Crittenden,46452.0,19.81183586
Cross,45247.0,17.61111777
Dallas,34337.0,12.90161478
Desha,33295.0,27.82388399
Drew,42891.0,20.03747582
Faulkner,54845.0,14.7551105
Franklin,42128.0,22.84191829
